TEMP PH ORP EC TDS SAL SG DO SAT TIME
4.343 8.10 110.50 23640.00 12765.00 13.63 1.01 112.83 0.00 0:44:53 D/M/Y:31/12/2095
4.346 8.10 110.60 23680.00 12789.00 13.65 1.01 112.11 0.00 0:45:10 D/M/Y:31/12/2095
4.346 8.10 110.50 23680.00 12789.00 13.65 1.01 113.02 0.00 0:45:26 D/M/Y:31/12/2095
4.343 8.10 110.40 23690.00 12795.00 13.66 1.01 112.80 0.00 0:45:40 D/M/Y:31/12/2095
4.338 8.10 110.50 23690.00 12795.00 13.66 1.01 113.20 0.00 0:45:56 D/M/Y:31/12/2095
4.337 8.10 110.60 23680.00 12790.00 13.65 1.01 113.31 0.00 0:46:12 D/M/Y:31/12/2095
4.331 8.10 110.50 23670.00 12785.00 13.65 1.01 113.08 0.00 0:46:29 D/M/Y:31/12/2095
4.323 8.10 110.50 23650.00 12775.00 13.63 1.01 113.61 0.00 0:46:45 D/M/Y:31/12/2095
4.330 8.10 110.70 23640.00 12769.00 13.63 1.01 112.09 0.00 0:47:1 D/M/Y:31/12/2095
4.326 8.10 110.60 23640.00 12766.00 13.62 1.01 111.57 0.00 0:47:17 D/M/Y:31/12/2095
4.326 8.09 110.70 23630.00 12761.00 13.62 1.01 112.97 0.00 0:47:33 D/M/Y:31/12/2095
4.325 8.09 110.70 23620.00 12758.00 13.61 1.01 113.31 0.00 0:47:49 D/M/Y:31/12/2095
4.319 8.10 110.50 23610.00 12750.00 13.60 1.01 112.91 0.00 0:48:5 D/M/Y:31/12/2095
4.319 8.10 110.50 23590.00 12738.00 13.59 1.01 112.13 0.00 0:48:21 D/M/Y:31/12/2095
4.312 8.10 110.50 23580.00 12735.00 13.59 1.01 111.84 0.00 0:48:37 D/M/Y:31/12/2095
4.308 8.10 110.50 23550.00 12719.00 13.57 1.01 113.67 0.00 0:48:53 D/M/Y:31/12/2095
4.301 8.09 110.40 23540.00 12713.00 13.56 1.01 111.37 0.00 0:49:9 D/M/Y:31/12/2095
4.302 8.09 110.60 23520.00 12701.00 13.55 1.01 112.11 0.00 0:49:25 D/M/Y:31/12/2095
4.292 8.09 110.60 23490.00 12685.00 13.53 1.01 113.63 0.00 0:49:41 D/M/Y:31/12/2095
4.290 8.09 110.60 23490.00 12689.00 13.53 1.01 111.77 0.00 0:49:57 D/M/Y:31/12/2095
4.298 8.10 110.40 23520.00 12701.00 13.54 1.01 111.48 0.00 0:50:12 D/M/Y:31/12/2095
4.296 8.09 110.40 23520.00 12702.00 13.54 1.01 112.67 0.00 0:50:28 D/M/Y:31/12/2095
4.261 8.10 110.40 23530.00 12708.00 13.55 1.01 112.79 0.00 0:50:44 D/M/Y:31/12/2095
4.263 8.09 110.50 23540.00 12713.00 13.56 1.01 112.88 0.00 0:51:0 D/M/Y:31/12/2095
4.275 8.10 110.60 23540.00 12716.00 13.56 1.01 112.37 0.00 0:51:16 D/M/Y:31/12/2095
4.278 8.10 110.40 23560.00 12724.00 13.57 1.01 113.29 0.00 0:51:30 D/M/Y:31/12/2095
4.288 8.09 110.40 23550.00 12719.00 13.56 1.01 112.79 0.00 0:51:46 D/M/Y:31/12/2095
4.290 8.10 110.50 23540.00 12716.00 13.56 1.01 111.81 0.00 0:52:2 D/M/Y:31/12/2095
4.287 8.10 110.50 23550.00 12718.00 13.56 1.01 112.56 0.00 0:52:18 D/M/Y:31/12/2095
4.292 8.09 110.50 23560.00 12725.00 13.57 1.01 111.16 0.00 0:52:34 D/M/Y:31/12/2095
4.293 8.09 110.50 23570.00 12729.00 13.58 1.01 112.88 0.00 0:52:50 D/M/Y:31/12/2095
4.292 8.10 110.40 23580.00 12736.00 13.58 1.01 113.09 0.00 0:53:6 D/M/Y:31/12/2095
4.287 8.09 110.50 23590.00 12742.00 13.59 1.01 111.60 0.00 0:53:22 D/M/Y:31/12/2095
4.278 8.10 110.30 23580.00 12734.00 13.58 1.01 112.94 0.00 0:53:38 D/M/Y:31/12/2095
4.260 8.10 110.30 23590.00 12742.00 13.59 1.01 112.04 0.00 0:53:55 D/M/Y:31/12/2095
4.260 8.10 110.30 23590.00 12739.00 13.59 1.01 113.22 0.00 0:54:11 D/M/Y:31/12/2095
4.266 8.10 110.40 23590.00 12739.00 13.59 1.01 112.50 0.00 0:54:27 D/M/Y:31/12/2095
4.268 8.10 110.30 23590.00 12740.00 13.59 1.01 113.09 0.00 0:54:43 D/M/Y:31/12/2095
4.268 8.10 110.30 23590.00 12738.00 13.59 1.01 113.74 0.00 0:54:59 D/M/Y:31/12/2095
4.278 8.10 110.40 23620.00 12756.00 13.60 1.01 112.51 0.00 0:55:14 D/M/Y:31/12/2095
4.274 8.10 110.40 23620.00 12759.00 13.61 1.01 110.90 0.00 0:55:30 D/M/Y:31/12/2095
4.271 8.10 110.30 23640.00 12766.00 13.62 1.01 112.96 0.00 0:55:46 D/M/Y:31/12/2095
4.268 8.10 110.30 23690.00 12795.00 13.65 1.01 113.31 0.00 0:56:2 D/M/Y:31/12/2095
4.268 8.10 110.40 23730.00 12816.00 13.67 1.01 113.55 0.00 0:56:18 D/M/Y:31/12/2095
4.276 8.10 110.20 23700.00 12800.00 13.66 1.01 113.28 0.00 0:56:34 D/M/Y:31/12/2095
4.272 8.10 110.40 23740.00 12820.00 13.68 1.01 113.96 0.00 0:56:50 D/M/Y:31/12/2095
4.275 8.10 110.40 23790.00 12847.00 13.71 1.01 112.96 0.00 0:57:6 D/M/Y:31/12/2095
4.272 8.10 110.30 23800.00 12852.00 13.72 1.01 113.58 0.00 0:57:20 D/M/Y:31/12/2095
4.274 8.10 110.30 23810.00 12862.00 13.73 1.01 112.42 0.00 0:57:36 D/M/Y:31/12/2095
4.270 8.10 110.20 23820.00 12867.00 13.73 1.01 112.43 0.00 0:57:52 D/M/Y:31/12/2095
4.271 8.10 110.30 23800.00 12856.00 13.72 1.01 113.85 0.00 0:58:8 D/M/Y:31/12/2095
4.264 8.10 110.20 23780.00 12845.00 13.71 1.01 113.77 0.00 0:58:24 D/M/Y:31/12/2095
4.270 8.10 110.20 23780.00 12841.00 13.70 1.01 112.59 0.00 0:58:40 D/M/Y:31/12/2095
4.258 8.10 110.40 23690.00 12795.00 13.65 1.01 113.34 0.00 0:58:56 D/M/Y:31/12/2095
4.258 8.10 110.40 23590.00 12742.00 13.59 1.01 110.27 0.00 0:59:12 D/M/Y:31/12/2095
4.258 8.10 110.50 23560.00 12727.00 13.57 1.01 114.43 0.00 0:59:28 D/M/Y:31/12/2095
4.257 8.10 110.50 23540.00 12713.00 13.56 1.01 112.40 0.00 0:59:44 D/M/Y:31/12/2095
4.258 8.10 110.30 23550.00 12720.00 13.56 1.01 112.40 0.00 1:0:0 D/M/Y:31/12/2095
4.251 8.10 110.20 23650.00 12773.00 13.62 1.01 111.22 0.00 1:0:15 D/M/Y:31/12/2095
4.260 8.10 110.20 23680.00 12791.00 13.64 1.01 110.47 0.00 1:0:31 D/M/Y:31/12/2095
4.254 8.10 110.50 23660.00 12780.00 13.63 1.01 112.07 0.00 1:0:47 D/M/Y:31/12/2095
4.249 8.10 110.20 23660.00 12779.00 13.63 1.01 113.46 0.00 1:1:3 D/M/Y:31/12/2095
4.246 8.10 110.30 23670.00 12784.00 13.64 1.01 112.50 0.00 1:1:19 D/M/Y:31/12/2095
4.243 8.10 110.20 23570.00 12728.00 13.57 1.01 112.40 0.00 1:1:35 D/M/Y:31/12/2095
4.237 8.10 110.20 23550.00 12721.00 13.56 1.01 111.80 0.00 1:1:51 D/M/Y:31/12/2095
4.232 8.10 110.10 23560.00 12725.00 13.57 1.01 112.82 0.00 1:2:7 D/M/Y:31/12/2095
