

TEMP PH ORP EC TDS SAL SG DO SAT TIME
19.563 3.98 207.30 0.00 0.00 0.00 1.00 9.42 102.70 20:43:7 D/M/Y:18/10/2017
19.562 3.98 206.30 0.00 0.00 0.00 1.00 9.22 100.60 20:48:7 D/M/Y:18/10/2017
19.559 3.98 205.60 0.00 0.00 0.00 1.00 9.26 101.00 20:53:8 D/M/Y:18/10/2017
19.559 3.98 205.00 0.00 0.00 0.00 1.00 9.37 102.20 20:58:9 D/M/Y:18/10/2017
19.547 3.98 204.30 0.00 0.00 0.00 1.00 9.45 103.00 21:3:9 D/M/Y:18/10/2017
19.539 3.98 203.60 0.00 0.00 0.00 1.00 9.28 101.20 21:8:10 D/M/Y:18/10/2017
19.536 3.98 202.90 0.00 0.00 0.00 1.00 9.43 102.80 21:13:11 D/M/Y:18/10/2017
19.529 3.98 202.20 0.00 0.00 0.00 1.00 9.38 102.30 21:18:11 D/M/Y:18/10/2017
19.528 3.98 201.40 0.00 0.00 0.00 1.00 9.33 101.70 21:23:12 D/M/Y:18/10/2017
19.545 3.98 200.80 0.00 0.00 0.00 1.00 9.37 102.10 21:28:13 D/M/Y:18/10/2017
19.568 3.98 200.20 0.00 0.00 0.00 1.00 9.34 101.80 21:33:13 D/M/Y:18/10/2017
19.558 3.98 199.40 0.00 0.00 0.00 1.00 9.39 102.30 21:38:14 D/M/Y:18/10/2017
19.545 3.99 199.00 0.00 0.00 0.00 1.00 9.37 102.10 21:43:15 D/M/Y:18/10/2017
19.545 3.98 198.20 0.00 0.00 0.00 1.00 9.26 100.90 21:48:15 D/M/Y:18/10/2017
19.530 3.98 197.60 0.00 0.00 0.00 1.00 9.33 101.70 21:53:16 D/M/Y:18/10/2017
19.520 3.98 197.00 0.00 0.00 0.00 1.00 9.29 101.20 21:58:17 D/M/Y:18/10/2017
19.505 3.98 196.50 0.00 0.00 0.00 1.00 9.38 102.20 22:3:17 D/M/Y:18/10/2017
19.488 3.98 196.20 0.00 0.00 0.00 1.00 9.21 100.30 22:8:18 D/M/Y:18/10/2017
19.485 3.98 195.40 0.00 0.00 0.00 1.00 9.18 100.00 22:13:19 D/M/Y:18/10/2017
19.480 3.98 194.70 0.00 0.00 0.00 1.00 9.22 100.40 22:18:19 D/M/Y:18/10/2017
19.457 3.98 194.10 0.00 0.00 0.00 1.00 9.31 101.30 22:23:20 D/M/Y:18/10/2017
19.432 3.98 193.80 0.00 0.00 0.00 1.00 9.35 101.70 22:28:21 D/M/Y:18/10/2017
19.412 3.98 193.40 0.00 0.00 0.00 1.00 9.27 100.80 22:33:21 D/M/Y:18/10/2017
19.259 3.98 192.70 0.00 0.00 0.00 1.00 9.46 102.80 22:38:22 D/M/Y:18/10/2017
19.278 3.98 192.20 0.00 0.00 0.00 1.00 9.36 101.40 22:43:23 D/M/Y:18/10/2017
19.297 3.98 191.70 0.00 0.00 0.00 1.00 9.38 101.80 22:48:23 D/M/Y:18/10/2017
19.317 3.98 191.50 0.00 0.00 0.00 1.00 9.49 102.90 22:53:24 D/M/Y:18/10/2017
19.322 3.98 190.90 0.00 0.00 0.00 1.00 9.40 102.00 22:58:25 D/M/Y:18/10/2017
19.322 3.98 190.20 0.00 0.00 0.00 1.00 9.29 100.80 23:3:25 D/M/Y:18/10/2017
19.317 3.98 189.80 0.00 0.00 0.00 1.00 9.31 101.10 23:8:26 D/M/Y:18/10/2017
19.323 3.98 189.40 0.00 0.00 0.00 1.00 9.42 102.30 23:13:27 D/M/Y:18/10/2017
19.315 3.98 188.70 0.00 0.00 0.00 1.00 9.43 102.30 23:18:27 D/M/Y:18/10/2017
19.316 3.98 188.40 0.00 0.00 0.00 1.00 9.43 102.30 23:23:28 D/M/Y:18/10/2017
19.319 3.98 188.00 0.00 0.00 0.00 1.00 9.39 101.80 23:28:29 D/M/Y:18/10/2017
19.313 3.98 187.60 0.00 0.00 0.00 1.00 9.30 100.90 23:33:29 D/M/Y:18/10/2017
19.310 3.98 187.00 0.00 0.00 0.00 1.00 9.38 101.80 23:38:30 D/M/Y:18/10/2017
19.308 3.98 186.40 0.00 0.00 0.00 1.00 9.39 101.90 23:43:31 D/M/Y:18/10/2017
19.295 3.98 185.70 0.00 0.00 0.00 1.00 9.43 102.30 23:48:31 D/M/Y:18/10/2017
